,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH601916,0.0630644295644925,0.875,0.0,0.0630644295644925,0.0630644295644925,SH601916,浙商银行,2026-03-26,0.24000278,0.24155618
1,1,SZ001965,0.057949087852582,0.875,-0.008239746,0.066188833946332,0.066188833946332,,,2026-03-26,0.13590729,0.13637951
2,2,SH600674,0.0565370551548698,0.875,-0.01880312,0.07534017481429363,0.07534017481429363,SH600674,川投能源,2026-03-26,68.81269,68.68095
3,3,SH601166,0.0553110448385855,1.0,-0.0005505681,0.055861612942375787,0.055861612942375787,SH601166,兴业银行,2026-03-26,1.291008,1.2930382
4,4,SH600015,0.0548354354640482,0.9375,0.008367181,0.04646825463976841,0.04646825463976841,SH600015,华夏银行,2026-03-26,5.3570685,5.4167037
5,5,SH600919,0.0547124796233311,0.9375,0.0,0.0547124796233311,0.0547124796233311,SH600919,江苏银行,2026-03-26,0.37084776,0.37256306
6,6,SZ003816,0.0534938364779911,0.8125,-0.0110497475,0.06454358394503212,0.06454358394503212,,,2026-03-26,0.49199176,0.4916963
7,7,SH600900,0.0527724682572797,1.0,-0.004065037,0.05683750503096134,0.05683750503096134,SH600900,长江电力,2026-03-26,10.257118,10.256534
8,8,SH600023,0.0519344192902724,0.875,-0.036777556,0.0887119752328078,0.0887119752328078,SH600023,浙能电力,2026-03-26,0.28964776,0.2866042
9,9,SH601818,0.0518771570437668,1.0,0.0029498339,0.04892732317383272,0.04892732317383272,SH601818,光大银行,2026-03-26,1.0494202,1.0556109
10,10,SH601328,0.0499264219263149,0.875,0.013368964,0.036557457731063434,0.036557457731063434,SH601328,交通银行,2026-03-26,0.27765095,0.2826541
11,11,SZ000983,0.0484227634001566,0.5625,-0.008542955,0.056965718321879015,0.056965718321879015,,,2026-03-26,8.177377,8.374015
12,12,SH601169,0.047280081767595,0.9375,0.0055971146,0.04168296720460672,0.04168296720460672,SH601169,北京银行,2026-03-26,0.2566756,0.25813335
13,13,SH601939,0.0461708255251151,0.8125,0.009361744,0.03680908159811315,0.03680908159811315,SH601939,建设银行,2026-03-26,0.803839,0.81632775
14,14,SH601838,0.0459125438138395,0.8125,0.0020678043,0.04384473947729165,0.04384473947729165,SH601838,成都银行,2026-03-26,0.33816546,0.34135056
15,15,SH601988,0.044192497593611,0.9375,0.018068075,0.026124422413557287,0.026124422413557287,SH601988,中国银行,2026-03-26,2.5881412,2.6398487
16,16,SH600886,0.0439060547996706,0.75,-0.017080128,0.06098618299257221,0.06098618299257221,SH600886,国投电力,2026-03-26,28.84821,28.78888
17,17,SH601006,0.0431046614485518,0.875,0.0071225166,0.035982144816471724,0.035982144816471724,SH601006,大秦铁路,2026-03-26,1.2183205,1.2310832
18,18,SZ000001,0.0408951793495821,0.875,-0.0027173758,0.04361255510489216,0.04361255510489216,,,2026-03-26,1.2714723,1.2749463
19,19,SH600018,0.0402740787639301,1.0,0.0070176125,0.03325646630665471,0.03325646630665471,SH600018,上港集团,2026-03-26,1.0057807,1.0159271
20,20,SH601658,0.0384684615191204,0.8125,0.0043541193,0.03411434221827812,0.03411434221827812,SH601658,邮储银行,2026-03-26,0.29810014,0.30010748
21,21,SH600036,0.0382472429389137,0.875,0.0010168552,0.03723038769904553,0.03723038769904553,SH600036,招商银行,2026-03-26,14.586201,14.634358
22,22,SZ000895,0.0365715761848847,0.8125,0.01718378,0.019387795514718684,0.019387795514718684,,,2026-03-26,64.72137,66.20443
23,23,SH601398,0.0364237920139999,0.8125,0.023280978,0.013142813811180078,0.013142813811180078,SH601398,工商银行,2026-03-26,4.2850356,4.391909
24,24,SH601825,0.0356277656194114,0.875,0.009322047,0.02630571838582986,0.02630571838582986,SH601825,沪农商行,2026-03-26,0.136649,0.13889024
25,25,SH600600,0.0323699626746763,0.8125,-0.0046460032,0.037015965920983676,0.037015965920983676,SH600600,青岛啤酒,2026-03-26,2.7057643,2.7183044
26,26,SH601009,0.0319276273445619,0.75,0.00893414,0.0229934871391786,0.0229934871391786,SH601009,南京银行,2026-03-26,1.5719129,1.5915794
27,27,SH601229,0.0316048724253383,1.0,0.013315201,0.018289671619674236,0.018289671619674236,SH601229,上海银行,2026-03-26,0.21123815,0.21449009
28,28,SH601077,0.030224902031073,0.75,0.0019646883,0.028260213729986574,0.028260213729986574,SH601077,渝农商行,2026-03-26,0.16934574,0.17170674
