,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SZ001965,0.0413164593922713,0.9333333333333332,0.0059171915,0.03539926788683917,0.03539926788683917,,,2026-03-24,0.13760534,0.13991168
1,1,SH600900,0.0403494750777885,0.9333333333333332,0.003683567,0.03666590803066936,0.03666590803066936,SH600900,长江电力,2026-03-24,10.240406,10.330903
2,2,SH600036,0.0401826424495476,0.8,0.0076221228,0.032560519684960196,0.032560519684960196,SH600036,招商银行,2026-03-24,14.520418,14.678897
3,3,SH601166,0.0400313251189133,0.8666666666666667,0.0064026117,0.03362871338643039,0.03362871338643039,SH601166,兴业银行,2026-03-24,1.2951581,1.3103622
4,4,SH600015,0.0372493064518704,0.9333333333333332,-0.0040485263,0.041297832738949256,0.041297832738949256,SH600015,华夏银行,2026-03-24,5.3852067,5.424121
5,5,SZ000895,0.0366203188218049,0.9333333333333332,0.010265827,0.026354491642849823,0.026354491642849823,,,2026-03-24,63.169945,64.559586
6,6,SH600919,0.0334931544935498,0.8,0.008310318,0.02518283650038574,0.02518283650038574,SH600919,江苏银行,2026-03-24,0.37030318,0.3757713
7,7,SH601328,0.0320671419244692,0.7333333333333333,0.0043079853,0.02775915661868307,0.02775915661868307,SH601328,交通银行,2026-03-24,0.27580842,0.2781846
8,8,SH600023,0.0311618732544538,0.5333333333333333,0.02722323,0.003938643846189641,0.003938643846189641,SH600023,浙能电力,2026-03-24,0.27950248,0.290155
9,9,SZ002422,0.03081608052814,0.8,-0.032223105,0.06303918595874303,0.06303918595874303,,,2026-03-24,0.2158461,0.21819939
10,10,SH600674,0.0306645903591997,0.6,-0.0044664145,0.035131004810798824,0.035131004810798824,SH600674,川投能源,2026-03-24,70.10944,70.37627
11,11,SH601939,0.0289264789036412,0.8,0.0051215887,0.023804890196670984,0.023804890196670984,SH601939,建设银行,2026-03-24,0.80161023,0.80981964
12,12,SH601006,0.0274864295868261,0.8666666666666667,0.022206306,0.00528012312930657,0.00528012312930657,SH601006,大秦铁路,2026-03-24,1.2113196,1.2421715
13,13,SH601916,0.0271129136459529,0.6666666666666666,0.0,0.0271129136459529,0.0271129136459529,SH601916,浙商银行,2026-03-24,0.24034777,0.2418984
14,14,SH601998,0.0270777053954742,0.6,0.013545394,0.013532311451687578,0.013532311451687578,SH601998,中信银行,2026-03-24,0.2696801,0.2753564
15,15,SH601818,0.0259749504535551,0.8666666666666667,0.0,0.0259749504535551,0.0259749504535551,SH601818,光大银行,2026-03-24,1.0583665,1.0647808
16,16,SZ300498,0.0254540469047624,0.9333333333333332,-0.010145307,0.035599353491981636,0.035599353491981636,,,2026-03-24,0.02580265,0.025998764
17,17,SZ000538,0.0251219777440397,0.7333333333333333,-0.020400882,0.04552285951131265,0.04552285951131265,,,2026-03-24,73.81872,74.018616
18,18,SH601988,0.0248929410563649,0.8,0.0055787563,0.01931418472396744,0.01931418472396744,SH601988,中国银行,2026-03-24,2.5794487,2.6035848
19,19,SH600886,0.0248196160436651,0.7333333333333333,0.013626933,0.011192682945825743,0.011192682945825743,SH600886,国投电力,2026-03-24,28.92692,29.478828
20,20,SH600377,0.0247668193079561,0.8666666666666667,0.016542077,0.00822474224344194,0.00822474224344194,SH600377,宁沪高速,2026-03-24,2.9136767,2.9812748
21,21,SH601825,0.0229330564884002,0.7333333333333333,0.011894584,0.011038472786312797,0.011038472786312797,SH601825,沪农商行,2026-03-24,0.13626127,0.13842933
22,22,SZ000651,0.0228844983867648,0.7333333333333333,-0.004982412,0.027866910248184478,0.027866910248184478,,,2026-03-24,474.224,476.96063
23,23,SH601229,0.0223075980424369,0.7333333333333333,0.0,0.0223075980424369,0.0223075980424369,SH601229,上海银行,2026-03-24,0.21172506,0.21453078
24,24,SZ003816,0.0219133200531511,0.6666666666666666,0.018975377,0.0029379429703263946,0.0029379429703263946,,,2026-03-24,0.47781062,0.4895815
25,25,SZ002459,0.0216190567107802,0.6666666666666666,-0.041329682,0.06294873858410173,0.06294873858410173,,,2026-03-24,0.068036504,0.068387456
26,26,SH601838,0.0210910205639858,0.7333333333333333,0.0053852797,0.015705740908529258,0.015705740908529258,SH601838,成都银行,2026-03-24,0.33764166,0.3434612
27,27,SH601236,0.0209545267108669,0.6,-0.014752328,0.03570685510671041,0.03570685510671041,SH601236,红塔证券,2026-03-24,0.4567795,0.45879892
28,28,SH601169,0.0190722351378055,0.5333333333333333,-0.0018517971,0.020924032241687335,0.020924032241687335,SH601169,北京银行,2026-03-24,0.25861928,0.25954905
29,29,SH600918,0.018849946662505,0.5333333333333333,-0.0125588775,0.03140882413061413,0.03140882413061413,SH600918,中泰证券,2026-03-24,0.16543959,0.16585197
30,30,SH600018,0.0184043714282383,0.6,-0.0057404637,0.024144835161911397,0.024144835161911397,SH600018,上港集团,2026-03-24,1.0255353,1.0316852
31,31,SH600905,0.0173075642000573,0.6666666666666666,-0.012422323,0.029729887426986012,0.029729887426986012,SH600905,三峡能源,2026-03-24,0.35059255,0.3511154
32,32,SH601009,0.0165409689227418,0.5333333333333333,0.0070654154,0.009475553540356545,0.009475553540356545,SH601009,南京银行,2026-03-24,1.5678158,1.5857581
33,33,SZ300750,0.0153050241868563,0.7333333333333333,0.011786938,0.003518086473233253,0.003518086473233253,,,2026-03-24,1.1183906,1.1631134
34,34,SH601658,0.0149985681371025,0.4666666666666667,0.0057803392,0.009218228896074668,0.009218228896074668,SH601658,邮储银行,2026-03-24,0.29951787,0.30239064
35,35,SH601985,0.0149889331594065,0.8,-0.008718312,0.02370724494605811,0.02370724494605811,SH601985,中国核电,2026-03-24,0.59211427,0.591308
36,36,SH601012,0.0144410494027804,0.8,-0.027507186,0.041948235338754525,0.041948235338754525,SH601012,隆基绿能,2026-03-24,18.844711,19.01511
37,37,SH601919,0.0111901333460237,0.5333333333333333,0.0060589314,0.005131201995315693,0.005131201995315693,SH601919,中远海控,2026-03-24,0.323921,0.32934177
38,38,SH601077,0.0086364270901751,0.6,0.017612576,-0.008976149394505075,0.008976149394505075,SH601077,渝农商行,2026-03-24,0.16995081,0.17400442
39,39,SH600941,0.0081415709736725,0.4666666666666667,0.00026404858,0.007877522397317519,0.007877522397317519,SH600941,中国移动,2026-03-24,0.041067164,0.041263897
40,40,SH601607,0.0066817635555466,0.4666666666666667,-0.008472681,0.015154444601078827,0.015154444601078827,SH601607,上海医药,2026-03-24,1.075091,1.0789188
41,41,SZ300014,0.0059076398393614,0.6,-0.0052577853,0.011165425159643382,0.011165425159643382,,,2026-03-24,12.689856,13.153308
42,42,SH601901,0.0058546996916721,0.4666666666666667,-0.0212484,0.027103099903006328,0.027103099903006328,SH601901,方正证券,2026-03-24,0.25755903,0.2576218
43,43,SH600050,0.0057382105494942,0.4666666666666667,-0.0131108165,0.01884902702822345,0.01884902702822345,SH600050,中国联通,2026-03-24,1.8782296,1.8826476
44,44,SH600011,0.0056007276381529,0.4666666666666667,-0.019689858,0.025290585597900213,0.025290585597900213,SH600011,华能国际,2026-03-24,1.1553237,1.1534461
45,45,SH600887,0.0053149408930324,0.4,0.002702117,0.002612823926784842,0.002612823926784842,SH600887,伊利股份,2026-03-24,74.094284,75.15319
46,46,SH601816,0.0047581374773273,0.4666666666666667,0.0036901236,0.0010680139192828664,0.0010680139192828664,SH601816,京沪高铁,2026-03-24,0.12767842,0.1288746
47,47,SH600027,0.0039474268283415,0.6,-0.018473864,0.02242129043002607,0.02242129043002607,SH600027,华电国际,2026-03-24,1.403414,1.4032491
48,48,SZ002371,0.0037935318571356,0.5333333333333333,-0.038969994,0.042763525448444195,0.042763525448444195,,,2026-03-24,5.5611453,5.53
49,49,SH600104,0.0037055068155107,0.5333333333333333,-0.0103440285,0.01404953528841109,0.01404953528841109,SH600104,上汽集团,2026-03-24,8.971925,9.046191
50,50,SH600926,0.0033114688385226,0.4,0.001142621,0.0021688477981783617,0.0021688477981783617,SH600926,杭州银行,2026-03-24,0.26757127,0.2709111
51,51,SZ000001,0.0031731941705563,0.5333333333333333,0.0,0.0031731941705563,0.0031731941705563,,,2026-03-24,1.2622528,1.2749445
52,52,SZ000166,0.0017298550689974,0.2666666666666666,-0.017241359,0.018971213826016443,0.018971213826016443,,,2026-03-24,0.030867338,0.030902494
53,53,SZ001391,0.0009528979192799,0.3333333333333333,-0.009259224,0.010212121857268181,0.010212121857268181,,,2026-03-24,0.06301846,0.06361854
54,54,SH601668,0.0009244009634329,0.4666666666666667,-0.00762707,0.00855147091353666,0.00855147091353666,SH601668,中国建筑,2026-03-24,0.657024,0.65890515
55,55,SH601390,0.000855862825515,0.2666666666666666,-0.017879963,0.018735825746657577,0.018735825746657577,SH601390,中国中铁,2026-03-24,0.1706295,0.17105697
56,56,SH688009,0.0007343100906271,0.3333333333333333,-0.020143867,0.020878176629628566,0.020878176629628566,SH688009,中国通号,2026-03-24,0.055991985,0.05657274
57,57,SZ000617,0.0007178215570948,0.3333333333333333,-0.054526567,0.05524438901620125,0.05524438901620125,,,2026-03-24,6.2372413,6.184777
