,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SZ000538,0.0568644964868005,1.0,0.0005403757,0.05632412077726681,0.05632412077726681,,,2026-04-03,74.511734,74.89881
1,1,SH601169,0.0557308569006748,1.0,0.01280117,0.04292968655155371,0.04292968655155371,SH601169,北京银行,2026-04-03,0.2544376,0.25811931
2,2,SH600919,0.0519355251435305,1.0,0.008310318,0.04362520715036644,0.04362520715036644,SH600919,江苏银行,2026-04-03,0.37030318,0.37405547
3,3,SH600887,0.0504834764443486,1.0,0.004180193,0.046303283496960904,0.046303283496960904,SH600887,伊利股份,2026-04-03,75.38224,76.01247
4,4,SH601166,0.0483848105614471,1.0,0.013519764,0.034865046614913894,0.034865046614913894,SH601166,兴业银行,2026-04-03,1.2792886,1.3000726
5,5,SH601939,0.0470547695631809,1.0,0.009573579,0.03748119072864721,0.03748119072864721,SH601939,建设银行,2026-04-03,0.7861848,0.79355544
6,6,SH601668,0.0459013298333121,1.0,0.011864424,0.03403690608148104,0.03403690608148104,SH601668,中国建筑,2026-04-03,0.657024,0.66468257
7,7,SH600926,0.0455027239003863,1.0,0.0095021725,0.03600055143029353,0.03600055143029353,SH600926,杭州银行,2026-04-03,0.2702234,0.2732728
8,8,SH601607,0.0432055566472409,0.8461538461538461,0.0005732775,0.04263227917379119,0.04263227917379119,SH601607,上海医药,2026-04-03,1.1204405,1.1256154
9,9,SH601328,0.0427743946988901,0.9230769230769232,0.0,0.0427743946988901,0.0427743946988901,SH601328,交通银行,2026-04-03,0.2791129,0.27992076
10,10,SH601816,0.0427472988904215,1.0,0.011070132,0.031677166634867304,0.031677166634867304,SH601816,京沪高铁,2026-04-03,0.12767842,0.12923321
11,11,SH601059,0.0423622351827775,1.0,0.026715279,0.01564695655728922,0.01564695655728922,SH601059,信达证券,2026-04-03,0.11820444,0.12168477
12,12,SH601658,0.0421287868877787,1.0,-0.0028985739,0.045027360763205945,0.045027360763205945,SH601658,邮储银行,2026-04-03,0.2983764,0.2984138
13,13,SH600600,0.0418273488486439,1.0,0.0069088936,0.03491845526343882,0.03491845526343882,SH600600,青岛啤酒,2026-04-03,2.7293994,2.7571497
14,14,SH600018,0.0411167769026648,1.0,0.013033152,0.028083625276077884,0.028083625276077884,SH600018,上港集团,2026-04-03,0.9938159,1.0057807
15,15,SZ002415,0.0405341324244637,0.9230769230769232,0.022508383,0.01802574962722249,0.01802574962722249,,,2026-04-03,2.552203,2.6180782
