,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH600023,0.0604080457333302,1.0,0.02285719,0.037550856554863406,0.037550856554863406,SH600023,浙能电力,2026-03-20,0.2663136,0.27290806
1,1,SH601916,0.0542488062169872,1.0,0.03883493,0.015413876750739644,0.015413876750739644,SH601916,浙商银行,2026-03-20,0.23060323,0.24000278
2,2,SH600027,0.0529782624371142,0.9230769230769232,0.028960824,0.02401743842435785,0.02401743842435785,SH600027,华电国际,2026-03-20,1.323467,1.3639344
3,3,SH600919,0.0514297649929693,0.8461538461538461,0.028735638,0.022694127328174378,0.022694127328174378,SH600919,江苏银行,2026-03-20,0.3570176,0.37066942
4,4,SZ000538,0.0511381947270712,0.9230769230769232,0.010015011,0.041123183893330965,0.041123183893330965,,,2026-03-20,73.218925,74.19238
5,5,SZ300498,0.0487095610302388,1.0,0.0027548075,0.0459547535580098,0.0459547535580098,,,2026-03-20,0.025684603,0.025933245
6,6,SH600025,0.0481432598435829,1.0,0.019386172,0.0287570875489662,0.0287570875489662,SH600025,华能水电,2026-03-20,1.5666286,1.5977513
7,7,SZ001965,0.0461392794809542,1.0,0.0076161623,0.038523117180844335,0.038523117180844335,,,2026-03-20,0.13359816,0.13576981
8,8,SH600036,0.0460925659860605,1.0,0.014715195,0.03137737128391206,0.03137737128391206,SH600036,招商银行,2026-03-20,14.305916,14.542019
9,9,SH601166,0.0458885293353324,1.0,0.026340485,0.019548044716191773,0.019548044716191773,SH601166,兴业银行,2026-03-20,1.2592694,1.2931607
10,10,SZ000895,0.0450485072044773,0.8461538461538461,0.013957739,0.031090768328134524,0.031090768328134524,,,2026-03-20,63.099613,64.21247
11,11,SH600900,0.0408461677874689,1.0,0.013513446,0.027332721933281887,0.027332721933281887,SH600900,长江电力,2026-03-20,10.063898,10.211697
12,12,SH601838,0.0389667846175319,1.0,0.024576306,0.014390478274453285,0.014390478274453285,SH601838,成都银行,2026-03-20,0.3300743,0.33895883
13,13,SH600887,0.0365659837019322,1.0,0.008238912,0.02832707207320906,0.02832707207320906,SH600887,伊利股份,2026-03-20,72.97768,73.66486
14,14,SH601006,0.0350869835562656,0.8461538461538461,0.0057554245,0.02933155905675388,0.02933155905675388,SH601006,大秦铁路,2026-03-20,1.2054958,1.2193727
15,15,SH601229,0.0347483429308586,0.9230769230769232,0.022884011,0.011864331662242877,0.011864331662242877,SH601229,上海银行,2026-03-20,0.20817436,0.2151137
16,16,SH600905,0.0342250948984146,0.6923076923076923,0.03296697,0.0012581235010146949,0.0012581235010146949,SH600905,三峡能源,2026-03-20,0.32993445,0.34171423
17,17,SH603195,0.0337973498139987,1.0,0.01609099,0.017706360701144695,0.017706360701144695,SH603195,公牛集团,2026-03-20,0.06517935,0.06624184
18,18,SH600377,0.0333580650873939,0.9230769230769232,0.013429046,0.01992901941020884,0.01992901941020884,SH600377,宁沪高速,2026-03-20,2.8519516,2.9069426
19,19,SH601328,0.0330982679502374,0.8461538461538461,0.022614479,0.010483788885295997,0.010483788885295997,SH601328,交通银行,2026-03-20,0.26919946,0.2757248
20,20,SH601988,0.0326803487663666,0.8461538461538461,0.014357448,0.018322901142160057,0.018322901142160057,SH601988,中国银行,2026-03-20,2.5063114,2.5503724
21,21,SH601939,0.0323142153882409,0.9230769230769232,0.017505527,0.014808688845577324,0.014808688845577324,SH601939,建设银行,2026-03-20,0.7815579,0.7995358
22,22,SH601009,0.0319909571463227,0.8461538461538461,0.025670886,0.006320071106588811,0.006320071106588811,SH601009,南京银行,2026-03-20,1.525658,1.5773184
23,23,SZ002714,0.0298103304613234,0.6923076923076923,-0.03760481,0.06741513926869644,0.06741513926869644,,,2026-03-20,14.834185,14.93282
24,24,SZ002422,0.0289982746255939,0.6153846153846154,0.0060777664,0.02292050820713687,0.02292050820713687,,,2026-03-20,0.21318665,0.21740426
25,25,SH600015,0.0288272797757796,0.7692307692307693,0.024429917,0.004397362440269347,0.004397362440269347,SH600015,华夏银行,2026-03-20,5.2066846,5.3560457
26,26,SZ003816,0.0286402971750705,0.8461538461538461,0.040816307,-0.012176009892800595,0.012176009892800595,,,2026-03-20,0.44356164,0.4649875
27,27,SH601658,0.026203067490933,0.7692307692307693,0.028571486,-0.002368418982150497,0.002368418982150497,SH601658,邮储银行,2026-03-20,0.28793716,0.29672015
28,28,SZ000999,0.0255372712103113,1.0,-0.0063309073,0.03186817855512941,0.03186817855512941,,,2026-03-20,0.6723235,0.6797
29,29,SZ002459,0.0249924553471912,0.6923076923076923,-0.015271664,0.04026411901296269,0.04026411901296269,,,2026-03-20,0.06939864,0.07165017
30,30,SH603259,0.0238892079771122,0.7692307692307693,0.06709039,-0.043201184135619734,0.043201184135619734,SH603259,药明康德,2026-03-20,0.5879185,0.6273613
31,31,SZ300750,0.0237308914360843,0.5384615384615384,-0.012442052,0.03617294380043366,0.03617294380043366,,,2026-03-20,1.130133,1.1579843
32,32,SH600600,0.0232025871345356,1.0,0.024845243,-0.0016426553657695742,0.0016426553657695742,SH600600,青岛啤酒,2026-03-20,2.6328008,2.6982286
33,33,SZ002415,0.0229591865539667,0.8461538461538461,0.00899601,0.013963176727306542,0.013963176727306542,,,2026-03-20,2.5361128,2.5758271
34,34,SH601077,0.0224747393461164,0.6153846153846154,0.012987018,0.009487721714585638,0.009487721714585638,SH601077,渝农商行,2026-03-20,0.16659291,0.16898282
35,35,SZ000651,0.0221776984783895,0.7692307692307693,0.01786685,0.004310848579097509,0.004310848579097509,,,2026-03-20,459.42374,468.75156
36,36,SH601818,0.0216342195926101,0.7692307692307693,0.022761822,-0.0011276021542160723,0.0011276021542160723,SH601818,光大银行,2026-03-20,1.0194865,1.0434563
37,37,SH603296,0.0215556645607873,0.3846153846153846,0.07172644,-0.050170776822574516,0.050170776822574516,SH603296,华勤技术,2026-03-20,0.032102518,0.034616835
38,38,SZ000708,0.0213027756874351,0.3846153846153846,0.021780133,-0.0004773575599403869,0.0004773575599403869,,,2026-03-20,5.656186,5.8013763
39,39,SH600886,0.0206949741454885,0.7692307692307693,0.02333796,-0.0026429860977365965,0.0026429860977365965,SH600886,国投电力,2026-03-20,27.862534,28.591612
40,40,SH600926,0.0201369737096024,0.6923076923076923,0.017937183,0.002199790329475447,0.002199790329475447,SH600926,杭州银行,2026-03-20,0.25908,0.26516387
41,41,SH601816,0.0199663073165314,0.6923076923076923,0.009487629,0.010478678379763823,0.010478678379763823,SH601816,京沪高铁,2026-03-20,0.124172114,0.12576428
42,42,SH601169,0.0190270782875398,0.7692307692307693,0.026620388,-0.007593309743466059,0.007593309743466059,SH601169,北京银行,2026-03-20,0.24831226,0.25492352
43,43,SH600018,0.0185367280716248,0.6923076923076923,0.026284337,-0.007747608972137408,0.007747608972137408,SH600018,上港集团,2026-03-20,0.98529726,1.0132072
44,44,SH601919,0.0171524974899225,0.5384615384615384,0.0078783035,0.00927419396209047,0.00927419396209047,SH601919,中远海控,2026-03-20,0.3283579,0.3341727
45,45,SH600918,0.0161019761928164,0.7692307692307693,0.019417524,-0.003315548144952156,0.003315548144952156,SH600918,中泰证券,2026-03-20,0.16040468,0.16422111
46,46,SH600674,0.0151697362051305,0.6923076923076923,0.011806846,0.0033628905401524734,0.0033628905401524734,SH600674,川投能源,2026-03-20,68.05539,69.21588
47,47,SH601236,0.0151493441390913,0.6923076923076923,0.011777282,0.003372062377921866,0.003372062377921866,SH601236,红塔证券,2026-03-20,0.44923472,0.4598192
48,48,SZ002311,0.014930421997555,0.5384615384615384,0.0011366606,0.0137937614216883,0.0137937614216883,,,2026-03-20,1.9025677,1.9350859
49,49,SH601825,0.0142536886936324,0.6153846153846154,0.030594349,-0.0163406602138383,0.0163406602138383,SH601825,沪农商行,2026-03-20,0.13245663,0.13703181
50,50,SZ002460,0.0128767947963033,0.4615384615384615,0.024119616,-0.01124282075850627,0.01124282075850627,,,2026-03-20,3.8526843,3.9649925
51,51,SZ000001,0.0126554625428631,0.6923076923076923,0.04114914,-0.028493676861433774,0.028493676861433774,,,2026-03-20,1.2057065,1.256475
