,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56,top57,top58,top59,top60,top61,top62,top63,top64,top65,top66,top67,top68,top69,top70,top71,top72,top73,top74,top75,top76,top77,top78,top79,top80,top81,top82,top83,top84,top85,top86,top87,top88,top89,top90,top91,top92,top93,top94,top95,top96,top97,top98,top99,top100,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
10,2026-03-20,SZ002493,SH600875,SZ002001,SH600115,SH603993,SH600522,SH600489,SH600482,SH600176,SH603799,SZ300442,SZ000301,SZ000630,SH600029,SZ002384,SH600219,SH600111,SZ300251,SZ000338,SH600026,SZ000807,SH601600,SH600893,SH601868,SH601888,SH600188,SH601698,SH600989,SH688396,SH600023,SZ002601,SH601916,SH601898,SH600027,SH688082,SH600426,SH600919,SZ000538,SH600362,SH600010,SZ300498,SH600025,SZ001965,SH600036,SH601166,SH601111,SZ000895,SZ300316,SH600900,SH601877,SH601018,SH601838,SZ002709,SZ300866,SH600887,SH600547,SH601899,SH601006,SH601229,SH600905,SH603195,SH600377,SH600000,SH601328,SH601988,SH601939,SH601009,SH600233,SZ002916,SH600346,SZ002714,SZ002648,SZ002422,SH600015,SZ003816,SZ000975,SH688472,SH601658,SZ000999,SH688169,SZ002459,SH600515,SH688256,SH603259,SZ300750,SH600600,SZ002415,SH601077,SZ000651,SZ000596,SH601818,SH603296,SZ002028,SZ000708,SH600886,SH600926,SH601021,SH601816,SH601169,SH600018,0.018848979845643044,0.012838483,0.36,0.018128979845643045,0.9574045361175711,0.9695071,1.0134550501092978,-0.0553063640915123
11,2026-03-23,SH603993,SH600115,SZ002493,SH600029,SH600489,SH600482,SH600547,SH600176,SH600875,SH600219,SZ000630,SH600362,SZ300251,SH600893,SH603799,SH601600,SZ000301,SH600346,SH600010,SH600522,SH600111,SZ002384,SZ000338,SH601899,SH601021,SH601111,SH600989,SH688396,SH600515,SH600026,SZ002601,SH600025,SH601868,SH688169,SH601888,SZ300394,SH688082,SZ300442,SH601100,SH601689,SZ302132,SH601898,SH600760,SH600188,SZ002001,SZ000975,SH600674,SH601006,SH600900,SZ300316,SH688111,SZ300347,SH600886,SH600905,SH600426,SZ002459,SH600588,SZ301236,SZ300413,SZ000408,SH600584,SZ000807,SZ300433,SH600309,SZ300498,SH601012,SH605117,SH601998,SH600027,SZ002028,SZ002648,SH601877,SH601698,SH600023,SZ000768,SH600372,SZ002463,SH601985,SH601838,SH601939,SZ300014,SZ001965,SH603392,SH600938,SZ300803,SH601808,SZ300408,SZ300418,SZ000983,SH601166,SH601872,SH600460,SH600031,SH601328,SH600036,SH688047,SH603986,SH600015,SZ003816,SH601088,0.016239304095506668,0.014023185,0.32,0.015599304095506668,0.9723393806188867,0.9831027,1.0134550501092978,-0.040569800787885885
12,2026-03-24,SH600893,SH600029,SH600115,SZ300394,SH600489,SZ002493,SZ000338,SH600875,SH601021,SZ002384,SH603799,SZ000975,SH600362,SZ000630,SZ300316,SH688008,SH603993,SH600989,SH600346,SH600515,SZ300251,SH688111,SZ300418,SZ000301,SH600482,SH601698,SH603986,SH601898,SZ300433,SH600026,SH600584,SH688012,SZ301269,SH600547,SH601689,SH688082,SZ002049,SH601111,SZ001965,SH600900,SH600036,SH601166,SH688396,SH600015,SZ000895,SZ300347,SH601058,SH600588,SH600919,SH600938,SZ002001,SZ002625,SH601328,SZ002241,SZ002601,SH600023,SZ002422,SH600674,SH600025,SZ301236,SZ002916,SH688169,SH601939,SZ000002,SH601006,SZ002050,SH601916,SH601998,SH600150,SH601888,SH603260,SH601818,SZ300498,SH601628,SH688047,SZ000538,SH601988,SH600886,SH600377,SH600010,SZ000768,SH601872,SH601688,SH601825,SZ000651,SH601100,SH601229,SZ300413,SZ003816,SZ002459,SH600219,SH600570,SH601838,SH603893,SH601236,SH688506,SH600000,SH601169,SH600460,SH600918,-0.01308333408087492,-0.013209939,0.27,-0.01362333408087492,0.9590928763967246,0.97011596,1.0134550501092978,-0.05364043891903292
13,2026-03-25,SZ002384,SH605117,SH601898,SH600989,SZ300316,SZ002001,SZ002493,SH600188,SH600026,SH600482,SZ300661,SZ300418,SH600029,SZ300394,SH601888,SH688111,SZ002601,SH601916,SH600025,SH600900,SH601021,SH603993,SH688082,SZ000301,SH601166,SH600015,SH601698,SH601872,SH600036,SH600115,SZ003816,SH601838,SH601939,SZ002916,SZ301269,SH601825,SZ300803,SH601236,SZ002459,SH600489,SZ000001,SH600919,SZ000338,SH601006,SH601328,SH600018,SZ300413,SH601100,SZ000651,SH600938,SH600893,SZ002049,SZ300750,SH600000,SH600918,SH688396,SH601985,SH603260,SH601988,SH601009,SH600183,SH601818,SH601229,SH600674,SH601169,SH600027,SH601868,SZ002422,SH688126,SH601012,SH600362,SH600426,SZ300896,SH601633,SH600886,SZ300498,SH600588,SH600584,SH600905,SH601088,SH600023,SH600515,SZ300347,SZ300251,SH601658,SH601077,SZ002625,SZ300408,SH600011,SH601360,SH601628,SH688008,SZ002938,SZ001965,SZ000895,SZ000538,SZ000002,SH601877,SH688169,SH603392,0.002580477623268962,0.005592346,0.27,0.002040477623268962,0.9610498839496487,0.9755412,1.0134550501092978,-0.05170941341108059
14,2026-03-26,SZ002384,SH605117,SH601898,SZ300394,SH600989,SH600893,SH600547,SZ300316,SH600115,SH600875,SZ002001,SZ000975,SH600489,SH601872,SH601916,SH601021,SH600584,SZ001965,SH600025,SH600674,SH601166,SH600015,SH600919,SZ003816,SH600900,SH600023,SH601818,SZ300750,SH601328,SZ000630,SZ000983,SH601169,SH601939,SH601838,SZ300418,SH600938,SH601888,SH601988,SH600886,SZ300442,SH688111,SH601006,SH600188,SH688082,SZ000001,SH600018,SH601877,SH601088,SH601658,SH603993,SH600036,SH600029,SZ000895,SH601398,SH688008,SZ002601,SZ002028,SH601825,SH601868,SH601689,SH600000,SZ002049,SH600600,SZ300413,SH601009,SH601229,SH600362,SZ301269,SH601077,SH601816,SH688396,SZ002938,SH601360,SH603893,SH688126,SH600795,SH688169,SH600482,SH688012,SH600104,SH600377,SH600026,SH601111,SZ300014,SZ300408,SZ000338,SH600515,SZ002074,SH601138,SH601018,SH688009,SH600183,SZ002625,SZ002241,SZ000977,SZ300498,SH600176,SZ002916,SH600372,SH600926,-0.0012008857447654009,-0.002358675,0.33,-0.0018608857447654009,0.9592614799205984,0.9732402,1.0134550501092978,-0.05347407384555913
15,2026-03-27,SZ002384,SH601916,SH601166,SH600115,SH600900,SH601988,SH600025,SH600919,SZ002460,SH601868,SH601169,SH605117,SZ002493,SH688082,SH600989,SH600015,SH600104,SZ002422,SH600674,SH600011,SH601898,SH601818,SH601328,SH600036,SZ001965,SH600183,SH601939,SH601838,SH600029,SH600233,SH601398,SZ000001,SH603993,SH600886,SH601658,SH601111,SH601825,SH600362,SZ000338,SH600023,SH601816,SH601006,SZ002001,SH600018,SH601021,SH600016,SH600219,SZ300433,SZ300316,SH601018,SH600000,SZ000630,SH601872,SZ000895,SH601766,SH600600,SH600887,SH600346,SZ002049,SH601877,SH600795,SH601985,SZ002466,SH600027,SH600905,SH601888,SH601229,SZ000651,SH603799,SH603288,SH601628,SZ300442,SH688506,SH600026,SH601100,SH601009,SH600875,SH688111,SZ002352,SH600588,SH600893,SH601077,SH603986,SZ002625,SH600188,SZ300418,SH601698,SH600918,SH601225,SZ000708,SH600938,SH601668,SH601088,SH688169,SH688009,SH600111,SH600803,SH601012,SZ300413,SH600089,-0.01017749309539795,-0.009327769,0.29,-0.01075749309539795,0.9489422311736713,0.96416205,1.0134550501092978,-0.06365631996078075
16,2026-03-30,SH603993,SZ002493,SH600362,SH605117,SH601868,SH600115,SZ002384,SH601916,SH600026,SH600919,SH600025,SH601166,SH601111,SH600029,SH600989,SZ301236,SZ000001,SH601898,SH601818,SH601169,SH600600,SH600900,SH600104,SH601328,SH601018,SH601838,SH600036,SZ000630,SH600160,SH600875,SZ300316,SZ001965,SH601658,SH601816,SH601006,SH603893,SZ000157,SH600188,SH600886,SH603799,SH601988,SH601825,SZ301269,SZ300418,SH601021,SH600111,SH600887,SH600018,SH600926,SH601077,SH601058,SH601872,SH600015,SH601229,SH600674,SH600016,SH601939,SH600031,SZ002050,SH688082,SH600845,SH601009,SH600515,SH601398,SH688396,SH601888,SZ300251,SH603260,SH688111,SH688256,SZ000651,SH601877,SZ002352,SH688169,SH601668,SZ002049,SH601607,SZ002916,SH603288,SZ002001,SZ002600,SH600377,SZ000425,SH601985,SH600893,SZ300433,SZ000895,SZ002142,SH601689,SZ000301,SH600023,SH601899,SH600905,SH688009,SZ000617,SZ002601,SH688981,SH600000,SH600930,SZ002074,0.014336258172988892,0.01708293,0.26,0.013816258172988892,0.9620530620308188,0.9806328,1.0134550501092978,-0.050719553938712456
17,2026-03-31,SH603993,SZ002493,SH600115,SH603799,SZ000630,SH600919,SH600362,SH600029,SZ000301,SH601169,SH600900,SH601111,SZ002601,SH601166,SH601868,SH601018,SH601328,SH601658,SH601816,SH600887,SZ000001,SH601838,SH601668,SZ301269,SH600018,SH601872,SH601006,SH688082,SH600588,SH600025,SH601899,SH600026,SH600489,SH601021,SH601939,SH601988,SH600989,SH600036,SZ002384,SH600660,SH601229,SH600377,SZ000895,SH600015,SH600016,SH600893,SZ000651,SH601607,SH601009,SH600346,SZ002625,SH601398,SH605117,SZ002050,SZ301236,SH601916,SH600023,SH688111,SH601689,SH600104,SH600219,SH600886,SZ300413,SH600183,SH600926,SH603260,SH600515,SH601818,SH601077,SH601058,SH601100,SH600600,SH601825,SZ001965,SH601888,SZ002241,SH600918,SH601600,SH600010,SH603392,SZ000768,SH600415,SH600160,SH688396,SH600111,SZ300251,SH688169,SZ002230,SH600674,SH600547,SZ300502,SZ000338,SZ002600,SZ000538,SZ300896,SZ002304,SZ000425,SH601628,SH600039,SZ300498,-0.00670237559825182,-0.010419548,0.29,-0.007282375598251819,0.955047030287662,0.97041506,1.0134550501092978,-0.057632570695006824
18,2026-04-01,SH600115,SH603993,SZ002493,SH600029,SH600919,SZ002601,SH601166,SH603799,SH600219,SH601169,SH605117,SZ000001,SH600362,SH601868,SH601658,SZ300274,SH600893,SH601600,SH601328,SH600887,SH600036,SZ002625,SH601838,SZ000630,SH603501,SH601009,SH600588,SH601668,SH688126,SH601816,SH688506,SH688008,SZ003816,SH601018,SH601229,SH601006,SH600015,SZ300251,SH601988,SZ000895,SH603260,SH600926,SH600585,SH601888,SH601607,SH600018,SH600372,SH600023,SH601939,SZ000301,SZ002049,SZ000538,SH600489,SH600104,SH600989,SH600000,SH600918,SH601998,SH600900,SH601111,SH601916,SH601077,SZ000651,SZ002415,SH603392,SH601825,SH601698,SH600760,SH600111,SZ301269,SZ000768,SH600016,SH600570,SZ002142,SZ301236,SH600061,SH600183,SH688082,SZ002600,SH605499,SZ302132,SH600600,SH600025,SH603195,SH600547,SZ300759,SH600010,SZ000333,SH688169,SZ002027,SZ300433,SH601390,SH601186,SH600026,SZ300413,SZ000858,SH601398,SZ002241,SZ000002,SZ002236,-0.012422280386090279,-0.008511066,0.29,-0.01300228038609028,0.942629241017959,0.96215576,1.0134550501092978,-0.06988549623754947
19,2026-04-02,SZ000630,SZ002601,SH601169,SH603799,SH600362,SH600489,SH601018,SZ002050,SH600919,SH603993,SH601166,SH600547,SH600372,SH601868,SZ002049,SZ002493,SH688082,SH601816,SH600887,SH601668,SH600570,SH600018,SZ300896,SZ301269,SH601328,SH601658,SH600926,SH600036,SZ002241,SH600183,SH603893,SZ300433,SH600115,SZ000001,SH600061,SH688396,SH601838,SH601009,SH688111,SH600000,SH603260,SH603195,SH601229,SH600150,SZ000651,SZ002625,SZ002415,SH600009,SH601607,SZ002236,SZ002027,SH600900,SZ000538,SH600600,SZ000768,SH601006,SH600161,SH688126,SZ300413,SH601698,SH603501,SH600585,SH601939,SZ002142,SH688169,SH600515,SZ301236,SZ000002,SZ000301,SZ300979,SH601766,SZ002600,SZ002230,SH601788,SZ002252,SZ300251,SH600999,SH600415,SZ000895,SH600519,SH600015,SH601628,SH688187,SZ002352,SZ300274,SZ300124,SZ000063,SH601888,SH600050,SH600588,SH601298,SH601398,SH600941,SH600160,SH601818,SH688008,SH601456,SH601995,SZ003816,SH600760,0.000895564560778439,-3.8325787e-05,0.19,0.000515564560778439,0.9431152272485813,0.96211886,1.0134550501092978,-0.06940596216194352
20,2026-04-03,SH603260,SH600362,SZ300274,SZ002601,SH603799,SZ301269,SH603993,SH600570,SH600115,SZ002493,SH601600,SH603501,SZ000630,SZ000538,SH600588,SZ002625,SH601169,SH600372,SH688082,SH600219,SZ002050,SH600489,SZ301236,SH600919,SH600887,SZ002241,SZ000063,SH603893,SH601166,SH600150,SH601698,SZ300015,SH601939,SH601668,SH601298,SH600926,SH600585,SH600893,SZ000425,SH600183,SZ300628,SH601018,SH601607,SH601328,SH601816,SH601059,SH600029,SZ300896,SH601658,SH600160,SH600600,SH688111,SH601628,SH600018,SZ002415,SZ300979,SZ000768,SH600036,SZ000002,SZ000895,SH601601,SZ000651,SH601318,SH600547,SZ002236,SH601766,SH688126,SZ002230,SH601336,SH601229,SH600009,SH601009,SZ002600,SH600760,SH600941,SZ000001,SH600900,SZ003816,SH600415,SH600999,SH601006,SH601633,SH601888,SH688008,SH600918,SH601456,SH600050,SH601838,SH601998,SH688396,SH601688,SH601788,SZ300251,SZ300832,SZ000568,SH603369,SH601111,SH600000,SH601995,SH600015,0.03666840121150017,0.034891605,0.22,0.036228401211500165,0.9772827840900181,0.99568874,1.0134550501092978,-0.0356920279941164
21,2026-04-07,SH600893,SZ002493,SH603799,SZ300274,SZ000630,SH600489,SH600115,SH600219,SH600919,SH600588,SH601600,SH603993,SZ002601,SH603501,SH603260,SZ000002,SH601169,SH600926,SZ301269,SZ301236,SH600362,SZ000538,SH688111,SZ000001,SH601658,SH600600,SH601166,SH601607,SH600547,SH688082,SZ002625,SH601838,SH601009,SH601816,SH600887,SH601698,SZ000425,SH601628,SH601336,SH601868,SH601668,SH601328,SH601988,SH600029,SH600036,SZ002352,SZ000333,SH600018,SH600570,SH600372,SH601899,SH601939,SH601766,SZ300896,SZ002142,SZ300251,SH601901,SH603893,SZ002241,SZ003816,SH600009,SH601825,SH600050,SH600760,SH601916,SZ000776,SZ000651,SH600999,SH601881,SZ300628,SH600900,SH601319,SZ300979,SH600061,SH601229,SH601318,SZ000768,SH601633,SH601998,SH601006,SH600233,SH600941,SZ000895,SH601018,SZ002252,SH600584,SH600111,SZ002236,SH601186,SZ000568,SH603369,SZ000166,SH600015,SH600585,SH601059,SH600085,SH600030,SH600150,SZ002230,SH601077,-0.012975440360605717,-0.0063844323,0.28,-0.013535440360605716,0.9640548312505209,0.98933184,1.0134550501092978,-0.048744361038458715
