,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
0,2026-04-28,SH600000,-0.0024294730277001696,EXP_CatBoostModel_Alpha158_csi300_custom_step0_s_20260428_17,1930fd4daf7345a1a525e6d5d77b35e7,0.07,,,
1,2026-04-28,SZ300782,-0.013252945616841316,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,d998034870fb4d3984d1e5fc17411da9,0.09,,,
2,2026-04-28,SZ300803,-0.04509160295128822,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,d998034870fb4d3984d1e5fc17411da9,0.09,,,
3,2026-04-28,SZ300832,-0.08344031125307083,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,d998034870fb4d3984d1e5fc17411da9,0.09,,,
4,2026-04-28,SZ300866,-0.03599272668361664,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,d998034870fb4d3984d1e5fc17411da9,0.09,,,
5,2026-04-28,SZ300896,0.05130896344780922,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,d998034870fb4d3984d1e5fc17411da9,0.09,,,
6,2026-04-28,SZ300979,0.02512042224407196,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,d998034870fb4d3984d1e5fc17411da9,0.09,,,
7,2026-04-28,SZ300999,-0.043651971966028214,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,d998034870fb4d3984d1e5fc17411da9,0.09,,,
8,2026-04-28,SZ301236,-0.07575105130672455,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,d998034870fb4d3984d1e5fc17411da9,0.09,,,
9,2026-04-28,SZ301269,0.00029323436319828033,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,d998034870fb4d3984d1e5fc17411da9,0.09,,,
10,2026-04-28,SZ302132,0.009606709703803062,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,d998034870fb4d3984d1e5fc17411da9,0.09,,,
11,2026-04-28,SH600000,-0.030503973364830017,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
12,2026-04-28,SH600009,0.0069709038361907005,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
13,2026-04-28,SH600010,-0.02300911955535412,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
14,2026-04-28,SH600011,-0.011226356960833073,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
15,2026-04-28,SH600015,-0.007671375758945942,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
16,2026-04-28,SH600016,0.05729490518569946,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
17,2026-04-28,SH600018,-0.03596801310777664,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
18,2026-04-28,SH600061,-0.025613486766815186,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
19,2026-04-28,SH600050,-0.028786512091755867,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
20,2026-04-28,SH600048,-0.014342845417559147,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
21,2026-04-28,SH600039,-0.00857053603976965,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
22,2026-04-28,SH600036,-0.0012465938925743103,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
23,2026-04-28,SH600031,-0.06024721637368202,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
24,2026-04-28,SZ300760,0.010495565831661224,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,d998034870fb4d3984d1e5fc17411da9,0.09,,,
25,2026-04-28,SH600030,-0.015381875447928905,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
26,2026-04-28,SH600028,-0.09643524885177612,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
27,2026-04-28,SH600027,0.029394198209047318,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
28,2026-04-28,SH600026,0.03365052491426468,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
29,2026-04-28,SH600025,0.01581525057554245,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
30,2026-04-28,SH600023,-0.02053673192858696,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
31,2026-04-28,SH600019,0.03591462969779968,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
32,2026-04-28,SH600029,-0.1318729668855667,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
33,2026-04-28,SH600066,0.11128650605678558,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260428_14,2e982020a3ef46ad8a8968ce8d52afe4,0.027,,,
