datetime,instrument,score,exp_name,rid,real_label,error,abs_error
2026-03-09,SH600000,0.0017215948208261357,EXP_LGBModel_Alpha158_csi300_custom_step0_s_20260309_15,03d8adce5ec445068e54adb3ccbc820d,,,
2026-03-09,SZ300832,-0.036502472400589965,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,7abd7f0944184d358db32d5ec90474bb,,,
2026-03-09,SZ300866,-0.003839489194459256,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,7abd7f0944184d358db32d5ec90474bb,,,
2026-03-09,SZ300896,-0.0498881245865102,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,7abd7f0944184d358db32d5ec90474bb,,,
2026-03-09,SZ300979,-0.08239162380374469,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,7abd7f0944184d358db32d5ec90474bb,,,
2026-03-09,SZ300999,0.009938706530405565,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,7abd7f0944184d358db32d5ec90474bb,,,
2026-03-09,SZ301236,0.009435480907906309,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,7abd7f0944184d358db32d5ec90474bb,,,
2026-03-09,SZ301269,-0.09657291849115995,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,7abd7f0944184d358db32d5ec90474bb,,,
2026-03-09,SZ302132,-0.09914916696881046,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,7abd7f0944184d358db32d5ec90474bb,,,
2026-03-09,SH600000,-0.006029890126044809,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
2026-03-09,SH600009,-0.13544475560310057,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
2026-03-09,SH600010,0.0016125405307165993,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
2026-03-09,SZ300803,0.07593220365804847,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,7abd7f0944184d358db32d5ec90474bb,,,
2026-03-09,SH600011,-0.0064984404013057545,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
2026-03-09,SH600016,0.10620132941371946,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
2026-03-09,SH600018,0.08568902976824762,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
2026-03-09,SH600019,0.02605238854431207,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
2026-03-09,SH600023,0.006096237142776414,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
2026-03-09,SH600025,-0.003976011554789574,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
2026-03-09,SH600026,-0.2588314471891414,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
2026-03-09,SH600027,0.04339035223332077,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
2026-03-09,SH600028,-0.24253834035958236,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
2026-03-09,SH600029,0.13182485786866835,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
2026-03-09,SH600030,-0.10802608604777138,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260309_13,321fbed1e65e4aef84846dba17508f30,,,
