,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
1516,2026-04-27,SH601059,0.039000846445560455,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1517,2026-04-27,SH601066,-0.044477950781583786,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1518,2026-04-27,SH601077,0.02160009741783142,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1519,2026-04-27,SH601088,0.013227147981524467,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1520,2026-04-27,SH601100,0.031437382102012634,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1521,2026-04-27,SH601111,-0.042052432894706726,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1522,2026-04-27,SH601117,0.017058268189430237,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1523,2026-04-27,SH601127,0.06941582262516022,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1524,2026-04-27,SH601136,-0.05935141444206238,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1525,2026-04-27,SH601018,0.002532971790060401,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1526,2026-04-27,SH601138,0.11076760292053223,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1527,2026-04-27,SH601169,-0.04368666186928749,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1528,2026-04-27,SH601186,0.0070449840277433395,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
